Crop,count,mean,std,min,median,max
Chilli,407,1.5403439803439802,0.7855297729833232,0.3,1.56,3.9
Cotton,504,1.2257341269841269,0.5252017095665643,0.3,1.24,2.9
Groundnut,419,1.3179236276849642,0.6077909124002908,0.3,1.4,3.02
Maize,547,2.717129798903108,1.236553459208441,0.3,2.85,6.08
Pulses,494,0.9181983805668016,0.42414906235516275,0.3,0.94,2.09
Rice,682,2.4394134897360704,1.1478829171466416,0.3,2.46,5.7
Sugarcane,303,46.93874587458746,21.087803144669166,1.39,48.03,101.44
Wheat,612,2.1092156862745095,0.9149359162353217,0.3,2.225,4.56
